ROUTE_NO,LOCATION_NAME,LAT,LONG,ID,TIME
1,Student Union,41.07531,-81.513008,1,3
2,Quaker Square on Bowery,41.080647,-81.516579,35,5.3
3,Polsky Building,41.078583,-81.519241,4,2.2
4,22 Exchange apts.,41.07592,-81.521049,5,1.8
5,401 Lofts,41.074783,-81.521904,6,1.1
6,The Depot,41.074604,-81.520309,8,1.7
7,The Creamery,41.07415,-81.516335,7,1.9
8,Gallucci,41.073032,-81.516403,9,1
